Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Chain A, ORF3a protein [Severe acute respiratory syndrome coronavirus 2]",Severe acute respiratory syndrome coronavirus 2,569,569,100%,0.0,100.00,284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/6XDC_A?report=genbank&log$=prottop&blast_rank=1&RID=X39PS6V5013"",""6XDC_A"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UMJ67148.1?report=genbank&log$=prottop&blast_rank=2&RID=X39PS6V5013"",""UMJ67148.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XDF27597.1?report=genbank&log$=prottop&blast_rank=3&RID=X39PS6V5013"",""XDF27597.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UMA44574.1?report=genbank&log$=prottop&blast_rank=4&RID=X39PS6V5013"",""UMA44574.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QTE19853.1?report=genbank&log$=prottop&blast_rank=5&RID=X39PS6V5013"",""QTE19853.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULE21712.1?report=genbank&log$=prottop&blast_rank=6&RID=X39PS6V5013"",""ULE21712.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XDF30086.1?report=genbank&log$=prottop&blast_rank=7&RID=X39PS6V5013"",""XDF30086.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UGN75810.1?report=genbank&log$=prottop&blast_rank=8&RID=X39PS6V5013"",""UGN75810.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UHX22276.1?report=genbank&log$=prottop&blast_rank=9&RID=X39PS6V5013"",""UHX22276.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QUX68844.1?report=genbank&log$=prottop&blast_rank=10&RID=X39PS6V5013"",""QUX68844.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSX93803.1?report=genbank&log$=prottop&blast_rank=11&RID=X39PS6V5013"",""QSX93803.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,100.00,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_009724391.1?report=genbank&log$=prottop&blast_rank=12&RID=X39PS6V5013"",""YP_009724391.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QUA75179.1?report=genbank&log$=prottop&blast_rank=13&RID=X39PS6V5013"",""QUA75179.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UMV71397.1?report=genbank&log$=prottop&blast_rank=14&RID=X39PS6V5013"",""UMV71397.1"")"
ORF3a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,568,568,100%,0.0,99.64,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRW78907.1?report=genbank&log$=prottop&blast_rank=15&RID=X39PS6V5013"",""QRW78907.1"")"
