Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,5468,5468,100%,0.0,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WJZ57656.1?report=genbank&log$=prottop&blast_rank=1&RID=X39PS6V5013"",""WJZ57656.1"")"
ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,5467,5467,100%,0.0,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWC83242.1?report=genbank&log$=prottop&blast_rank=2&RID=X39PS6V5013"",""QWC83242.1"")"
ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,5467,5467,100%,0.0,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WPW43117.1?report=genbank&log$=prottop&blast_rank=3&RID=X39PS6V5013"",""WPW43117.1"")"
ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,5466,5466,100%,0.0,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WJZ58074.1?report=genbank&log$=prottop&blast_rank=4&RID=X39PS6V5013"",""WJZ58074.1"")"
ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,5466,5466,100%,0.0,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QMU93934.1?report=genbank&log$=prottop&blast_rank=5&RID=X39PS6V5013"",""QMU93934.1"")"
ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,5466,5466,100%,0.0,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QTH17972.1?report=genbank&log$=prottop&blast_rank=6&RID=X39PS6V5013"",""QTH17972.1"")"
"ORF1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]",Severe acute respiratory syndrome coronavirus 2,5466,5466,100%,0.0,100.00,6924,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QMV29246.1?report=genbank&log$=prottop&blast_rank=7&RID=X39PS6V5013"",""QMV29246.1"")"
"ORF1ab polyprotein, partial [Severe acute respiratory syndrome coronavirus 2]",Severe acute respiratory syndrome coronavirus 2,5465,5465,100%,0.0,100.00,6939,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKV42345.1?report=genbank&log$=prottop&blast_rank=8&RID=X39PS6V5013"",""QKV42345.1"")"
ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,5465,5465,100%,0.0,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QWC77021.1?report=genbank&log$=prottop&blast_rank=9&RID=X39PS6V5013"",""QWC77021.1"")"
ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,5465,5465,100%,0.0,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOU89400.1?report=genbank&log$=prottop&blast_rank=10&RID=X39PS6V5013"",""QOU89400.1"")"
ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,5465,5465,100%,0.0,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WPW44520.1?report=genbank&log$=prottop&blast_rank=11&RID=X39PS6V5013"",""WPW44520.1"")"
ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,5465,5465,100%,0.0,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WJZ57680.1?report=genbank&log$=prottop&blast_rank=12&RID=X39PS6V5013"",""WJZ57680.1"")"
ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,5465,5465,100%,0.0,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QYM28438.1?report=genbank&log$=prottop&blast_rank=13&RID=X39PS6V5013"",""QYM28438.1"")"
