Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Chain A, Membrane protein [Severe acute respiratory syndrome coronavirus 2]",Severe acute respiratory syndrome coronavirus 2,452,452,100%,3e-161,100.00,231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/8CTK_A?report=genbank&log$=prottop&blast_rank=1&RID=X39PS6V5013"",""8CTK_A"")"
membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,452,452,100%,3e-161,100.00,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_009724393.1?report=genbank&log$=prottop&blast_rank=2&RID=X39PS6V5013"",""YP_009724393.1"")"
membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,452,452,100%,4e-161,99.55,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOI60349.1?report=genbank&log$=prottop&blast_rank=3&RID=X39PS6V5013"",""QOI60349.1"")"
membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,452,452,100%,4e-161,99.55,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRX47137.1?report=genbank&log$=prottop&blast_rank=4&RID=X39PS6V5013"",""QRX47137.1"")"
membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,452,452,100%,4e-161,99.55,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRW77293.1?report=genbank&log$=prottop&blast_rank=5&RID=X39PS6V5013"",""QRW77293.1"")"
membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,452,452,100%,4e-161,99.55,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOF16748.1?report=genbank&log$=prottop&blast_rank=6&RID=X39PS6V5013"",""QOF16748.1"")"
membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,452,452,100%,4e-161,99.55,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRX28077.1?report=genbank&log$=prottop&blast_rank=7&RID=X39PS6V5013"",""QRX28077.1"")"
membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,452,452,100%,4e-161,99.55,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QUN75372.1?report=genbank&log$=prottop&blast_rank=8&RID=X39PS6V5013"",""QUN75372.1"")"
membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,452,452,100%,4e-161,99.55,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRX46158.1?report=genbank&log$=prottop&blast_rank=9&RID=X39PS6V5013"",""QRX46158.1"")"
membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,452,452,100%,4e-161,99.55,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOQ01737.1?report=genbank&log$=prottop&blast_rank=10&RID=X39PS6V5013"",""QOQ01737.1"")"
