Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,7e-84,100.00,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_009724395.1?report=genbank&log$=prottop&blast_rank=1&RID=X39PS6V5013"",""YP_009724395.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,7e-84,100.00,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QQP29865.1?report=genbank&log$=prottop&blast_rank=2&RID=X39PS6V5013"",""QQP29865.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,9e-84,100.00,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOQ71843.1?report=genbank&log$=prottop&blast_rank=3&RID=X39PS6V5013"",""QOQ71843.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,9e-84,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UKC43260.1?report=genbank&log$=prottop&blast_rank=4&RID=X39PS6V5013"",""UKC43260.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,9e-84,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UUM88975.1?report=genbank&log$=prottop&blast_rank=5&RID=X39PS6V5013"",""UUM88975.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,9e-84,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WGU64389.1?report=genbank&log$=prottop&blast_rank=6&RID=X39PS6V5013"",""WGU64389.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,9e-84,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WEF81623.1?report=genbank&log$=prottop&blast_rank=7&RID=X39PS6V5013"",""WEF81623.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,9e-84,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UPM15351.1?report=genbank&log$=prottop&blast_rank=8&RID=X39PS6V5013"",""UPM15351.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,9e-84,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QVH04066.1?report=genbank&log$=prottop&blast_rank=9&RID=X39PS6V5013"",""QVH04066.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,9e-84,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QXN16868.1?report=genbank&log$=prottop&blast_rank=10&RID=X39PS6V5013"",""QXN16868.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,9e-84,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRW63450.1?report=genbank&log$=prottop&blast_rank=11&RID=X39PS6V5013"",""QRW63450.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,9e-84,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QPF52579.1?report=genbank&log$=prottop&blast_rank=12&RID=X39PS6V5013"",""QPF52579.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,100.00,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNO31561.1?report=genbank&log$=prottop&blast_rank=13&RID=X39PS6V5013"",""QNO31561.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRX03794.1?report=genbank&log$=prottop&blast_rank=14&RID=X39PS6V5013"",""QRX03794.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QTK04791.1?report=genbank&log$=prottop&blast_rank=15&RID=X39PS6V5013"",""QTK04791.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNE12757.1?report=genbank&log$=prottop&blast_rank=16&RID=X39PS6V5013"",""QNE12757.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QUA34939.1?report=genbank&log$=prottop&blast_rank=17&RID=X39PS6V5013"",""QUA34939.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOC62112.1?report=genbank&log$=prottop&blast_rank=18&RID=X39PS6V5013"",""QOC62112.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJA41754.1?report=genbank&log$=prottop&blast_rank=19&RID=X39PS6V5013"",""QJA41754.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNP05940.1?report=genbank&log$=prottop&blast_rank=20&RID=X39PS6V5013"",""QNP05940.1"")"
ORF7a/ORF7b fusion protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,249,249,100%,1e-83,100.00,161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOE35706.1?report=genbank&log$=prottop&blast_rank=21&RID=X39PS6V5013"",""QOE35706.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QTQ43317.1?report=genbank&log$=prottop&blast_rank=22&RID=X39PS6V5013"",""QTQ43317.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UWL04496.1?report=genbank&log$=prottop&blast_rank=23&RID=X39PS6V5013"",""UWL04496.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XBW78538.1?report=genbank&log$=prottop&blast_rank=24&RID=X39PS6V5013"",""XBW78538.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNV69875.1?report=genbank&log$=prottop&blast_rank=25&RID=X39PS6V5013"",""QNV69875.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QTH36422.1?report=genbank&log$=prottop&blast_rank=26&RID=X39PS6V5013"",""QTH36422.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QTC28808.1?report=genbank&log$=prottop&blast_rank=27&RID=X39PS6V5013"",""QTC28808.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSN97321.1?report=genbank&log$=prottop&blast_rank=28&RID=X39PS6V5013"",""QSN97321.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QQG76512.1?report=genbank&log$=prottop&blast_rank=29&RID=X39PS6V5013"",""QQG76512.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOQ27416.1?report=genbank&log$=prottop&blast_rank=30&RID=X39PS6V5013"",""QOQ27416.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIX13980.1?report=genbank&log$=prottop&blast_rank=31&RID=X39PS6V5013"",""QIX13980.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRN62327.1?report=genbank&log$=prottop&blast_rank=32&RID=X39PS6V5013"",""QRN62327.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSW60336.1?report=genbank&log$=prottop&blast_rank=33&RID=X39PS6V5013"",""QSW60336.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QUA57570.1?report=genbank&log$=prottop&blast_rank=34&RID=X39PS6V5013"",""QUA57570.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QVI47267.1?report=genbank&log$=prottop&blast_rank=35&RID=X39PS6V5013"",""QVI47267.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,1e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QYR54036.1?report=genbank&log$=prottop&blast_rank=36&RID=X39PS6V5013"",""QYR54036.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XCT95107.1?report=genbank&log$=prottop&blast_rank=37&RID=X39PS6V5013"",""XCT95107.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSN98762.1?report=genbank&log$=prottop&blast_rank=38&RID=X39PS6V5013"",""QSN98762.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QQX20940.1?report=genbank&log$=prottop&blast_rank=39&RID=X39PS6V5013"",""QQX20940.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WQG43925.1?report=genbank&log$=prottop&blast_rank=40&RID=X39PS6V5013"",""WQG43925.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QUM92638.1?report=genbank&log$=prottop&blast_rank=41&RID=X39PS6V5013"",""QUM92638.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QUX00663.1?report=genbank&log$=prottop&blast_rank=42&RID=X39PS6V5013"",""QUX00663.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRX18809.1?report=genbank&log$=prottop&blast_rank=43&RID=X39PS6V5013"",""QRX18809.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSE20491.1?report=genbank&log$=prottop&blast_rank=44&RID=X39PS6V5013"",""QSE20491.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WDT46724.1?report=genbank&log$=prottop&blast_rank=45&RID=X39PS6V5013"",""WDT46724.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QTU82223.1?report=genbank&log$=prottop&blast_rank=46&RID=X39PS6V5013"",""QTU82223.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UMI84736.1?report=genbank&log$=prottop&blast_rank=47&RID=X39PS6V5013"",""UMI84736.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WBY79174.1?report=genbank&log$=prottop&blast_rank=48&RID=X39PS6V5013"",""WBY79174.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,247,247,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QLC46450.1?report=genbank&log$=prottop&blast_rank=49&RID=X39PS6V5013"",""QLC46450.1"")"
mutant ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,248,248,100%,2e-83,100.00,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QTW51342.1?report=genbank&log$=prottop&blast_rank=50&RID=X39PS6V5013"",""QTW51342.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,247,247,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QUD04022.1?report=genbank&log$=prottop&blast_rank=51&RID=X39PS6V5013"",""QUD04022.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,247,247,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QUP03485.1?report=genbank&log$=prottop&blast_rank=52&RID=X39PS6V5013"",""QUP03485.1"")"
ORF7a protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,247,247,100%,2e-83,99.17,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UKT49982.1?report=genbank&log$=prottop&blast_rank=53&RID=X39PS6V5013"",""UKT49982.1"")"
