Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,855,855,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOC66901.1?report=genbank&log$=prottop&blast_rank=1&RID=X39PS6V5013"",""QOC66901.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,100.00,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_009724397.2?report=genbank&log$=prottop&blast_rank=2&RID=X39PS6V5013"",""YP_009724397.2"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WPW43103.1?report=genbank&log$=prottop&blast_rank=3&RID=X39PS6V5013"",""WPW43103.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSM21170.1?report=genbank&log$=prottop&blast_rank=4&RID=X39PS6V5013"",""QSM21170.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QQV43073.1?report=genbank&log$=prottop&blast_rank=5&RID=X39PS6V5013"",""QQV43073.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WKQ39290.1?report=genbank&log$=prottop&blast_rank=6&RID=X39PS6V5013"",""WKQ39290.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QLC94852.1?report=genbank&log$=prottop&blast_rank=7&RID=X39PS6V5013"",""QLC94852.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XJP37970.1?report=genbank&log$=prottop&blast_rank=8&RID=X39PS6V5013"",""XJP37970.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UPD16481.1?report=genbank&log$=prottop&blast_rank=9&RID=X39PS6V5013"",""UPD16481.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WWQ82479.1?report=genbank&log$=prottop&blast_rank=10&RID=X39PS6V5013"",""WWQ82479.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNO40616.1?report=genbank&log$=prottop&blast_rank=11&RID=X39PS6V5013"",""QNO40616.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOL73089.1?report=genbank&log$=prottop&blast_rank=12&RID=X39PS6V5013"",""QOL73089.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,854,854,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UBE86422.1?report=genbank&log$=prottop&blast_rank=13&RID=X39PS6V5013"",""UBE86422.1"")"
nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,853,853,100%,0.0,99.76,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UXB96785.1?report=genbank&log$=prottop&blast_rank=14&RID=X39PS6V5013"",""UXB96785.1"")"
