Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"ORF6 protein, partial [Severe acute respiratory syndrome coronavirus 2]",Severe acute respiratory syndrome coronavirus 2,122,122,100%,9e-36,100.00,62,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UCZ16486.1?report=genbank&log$=prottop&blast_rank=1&RID=X39PS6V5013"",""UCZ16486.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,100.00,62,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/USG83228.1?report=genbank&log$=prottop&blast_rank=2&RID=X39PS6V5013"",""USG83228.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,100.00,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_009724394.1?report=genbank&log$=prottop&blast_rank=3&RID=X39PS6V5013"",""YP_009724394.1"")"
mutant ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,100.00,63,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QSJ03267.1?report=genbank&log$=prottop&blast_rank=4&RID=X39PS6V5013"",""QSJ03267.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UNS42769.1?report=genbank&log$=prottop&blast_rank=5&RID=X39PS6V5013"",""UNS42769.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKU30333.1?report=genbank&log$=prottop&blast_rank=6&RID=X39PS6V5013"",""QKU30333.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOQ06381.1?report=genbank&log$=prottop&blast_rank=7&RID=X39PS6V5013"",""QOQ06381.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRX30541.1?report=genbank&log$=prottop&blast_rank=8&RID=X39PS6V5013"",""QRX30541.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRG16693.1?report=genbank&log$=prottop&blast_rank=9&RID=X39PS6V5013"",""QRG16693.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QOH27322.1?report=genbank&log$=prottop&blast_rank=10&RID=X39PS6V5013"",""QOH27322.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QQH16546.1?report=genbank&log$=prottop&blast_rank=11&RID=X39PS6V5013"",""QQH16546.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRK21047.1?report=genbank&log$=prottop&blast_rank=12&RID=X39PS6V5013"",""QRK21047.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QQV41823.1?report=genbank&log$=prottop&blast_rank=13&RID=X39PS6V5013"",""QQV41823.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QUI13382.1?report=genbank&log$=prottop&blast_rank=14&RID=X39PS6V5013"",""QUI13382.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDP14488.1?report=genbank&log$=prottop&blast_rank=15&RID=X39PS6V5013"",""UDP14488.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UUA55144.1?report=genbank&log$=prottop&blast_rank=16&RID=X39PS6V5013"",""UUA55144.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UDZ96499.1?report=genbank&log$=prottop&blast_rank=17&RID=X39PS6V5013"",""UDZ96499.1"")"
ORF6 protein [Severe acute respiratory syndrome coronavirus 2],Severe acute respiratory syndrome coronavirus 2,122,122,100%,1e-35,98.36,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UHA98929.1?report=genbank&log$=prottop&blast_rank=18&RID=X39PS6V5013"",""UHA98929.1"")"
